wgs	stoolMeans	stoolSD	swabMeans	swabSD	tissueMeans	tissueSD	Origin p-value	OriginSwabStool p-value	OriginTissueStool p-value	OriginTissueSwab p-value	Time p-value	Individual p-value	Origin (adj p-value)	OriginSwabStool (adj p-value)	OriginTissueStool (adj p-value)	OriginTissueSwab (adj p-value)	Time (adj p-value)	Individual (adj p-value)	rsquared marginal	rsquared conditional
K08656: dipeptidyl-peptidase 9	0.648	0.227	0.628	0.235	0.178	0.362	1.27e-10	0.925	2.22e-10	1.22e-07	0.293	0.0674	7.21172119487909e-10	1	4.92102694828842e-10	2.91221176470588e-07	0.9956866689993	0.233715870307167	0.291	0.404
K08657: taspase, threonine aspartase, 1	0.037	0.058	0.174	0.389	0	0	0.000988	0.00129	0.722	0.00621	0.874	1	0.00159744673957068	0.0110129453015428	0.748945807770961	0.00919714598540146	0.9956866689993	1	0.095	0.095
K08654: proprotein convertase subtilisin/kexin type 5	0.029	0.052	0.063	0.104	0.188	0.291	8.6e-06	0.351	2.77e-06	0.002	0.863	1	2.0606962785114e-05	0.636063411729681	4.97081073113208e-06	0.00318774548311076	0.9956866689993	1	0.158	0.158
K08655: dipeptidyl-peptidase 8	0.479	0.206	0.467	0.207	0.146	0.317	1.06e-08	0.969	3.55e-07	2.39e-05	0.491	0.007	4.14043052837573e-08	1	6.69211830288015e-07	4.6943949661181e-05	0.9956866689993	0.0555597265625	0.226	0.419
K08652: C5a peptidase	0.198	0.155	0.301	0.262	0	0	1.91e-06	0.0169	0.000129	4.63e-07	0.742	1	5.14141604855024e-06	0.0705074023303632	0.000207621099947118	1.0563272113943e-06	0.9956866689993	1	0.178	0.178
K08653: membrane-bound transcription factor protease, site 1	0.246	0.242	0.282	0.29	0.239	0.371	0.803	0.804	0.995	0.864	0.471	1	0.812566793409379	1	0.999598118501403	0.894568464024494	0.9956866689993	1	0.007	0.007
K08651: thermitase	0.333	0.175	0.267	0.189	0.022	0.089	8.03e-10	0.174	1.09e-09	3.07e-05	0.47	0.0576	3.88084261501211e-09	0.387536772777168	2.34198023296858e-09	5.97031629392971e-05	0.9956866689993	0.213137507598784	0.271	0.412
K08659: dipeptidase A	1.398	0.359	1.526	0.3	0.137	0.375	<2e-16	0.205	1.67e-15	2.11e-15	0.347	0.632	NA	0.435848760041914	6.84531313131313e-15	1.80134221598878e-14	0.9956866689993	0.944045153374233	0.586	0.604
K05684: ATP-binding cassette, subfamily G (WHITE), member 8 (sterolin 2)	0.022	0.069	0.085	0.154	0.052	0.21	0.0334	0.0278	0.577	0.633	0.37	1	0.0409121816508131	0.101510857828434	0.607226659751037	0.67764175167077	0.9956866689993	1	0.053	0.053
K11136: regulator of telomere elongation helicase 1	0.043	0.072	0.113	0.209	0.235	0.356	0.000137	0.0997	4.65e-05	0.0426	0.114	0.259	0.000264844552058111	0.257258965663417	7.72714987714988e-05	0.0553127559726962	0.9956866689993	0.540834648370497	0.137	0.187
K07450: putative resolvase	1.093	0.511	0.868	0.616	0	0	1.9e-11	0.0934	8.56e-13	4.91e-07	0.0724	0.924	1.28121621621622e-10	0.244737752905725	2.11807804878049e-12	1.11811335578002e-06	0.9956866689993	1	0.328	0.333
K07100	0.032	0.106	0.027	0.093	0	0	0.225	0.967	0.438	0.647	0.437	0.127	0.243678784590342	1	0.46888955328878	0.691291732490785	0.9956866689993	0.346658744394619	0.025	0.152
K07455: recombination protein RecT	1.078	0.477	0.799	0.628	0	0	<2e-16	0.0208	2.89e-13	1.44e-06	0.0481	9.74e-07	NA	0.0817891472868217	7.27820852296235e-13	3.15071171818835e-06	0.9956866689993	0.000236456538461538	0.366	0.662
K07454: putative restriction endonuclease	0.531	0.506	0.597	0.52	0	0	1.9e-05	0.802	0.000218	0.00037	0.645	0.0435	4.2420581655481e-05	1	0.000344308770108978	0.000646809304997128	0.9956866689993	0.179636702849389	0.134	0.337
K09707: hypothetical protein	0.313	0.492	0.267	0.45	0	0	0.0409	0.889	0.0333	0.154	0.994	0.858	0.0492973429951691	1	0.0418104579207921	0.18223133748056	0.999103431210822	1	0.045	0.059
K07457: endonuclease III related protein	0.11	0.255	0.079	0.259	0	0	0.23	0.815	0.213	0.556	0.879	0.206	0.248689057421452	1	0.239389032496307	0.601345415778252	0.9956866689993	0.467532438478747	0.021	0.127
K09706: hypothetical protein	0.717	0.601	0.719	0.623	0	0	2.68e-05	1	2.25e-05	0.00029	0.264	0.474	5.82710239651416e-05	1	3.82562849162011e-05	0.000513446771378709	0.9956866689993	0.788316393442623	0.149	0.212
K07456: DNA mismatch repair protein MutS2	1.959	0.254	1.693	0.501	0.249	0.471	<2e-16	0.00118	1.67e-15	1.67e-15	0.673	0.202	NA	0.0103645887445887	6.84531313131313e-15	1.69988127090301e-14	0.9956866689993	0.461032620922385	0.712	0.735
K09705: hypothetical protein	0.321	0.454	0.212	0.43	0	0	0.0144	0.447	0.0151	0.251	0.164	0.634	0.0187185932920873	0.74320923245015	0.0198861315447858	0.287079481397971	0.9956866689993	0.945872058823529	0.072	0.108
K00029: malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+)	1.817	0.259	1.587	0.29	0.302	0.467	<2e-16	0.00106	1.67e-15	1.67e-15	0.27	1	NA	0.00957302670623145	6.84531313131313e-15	1.69988127090301e-14	0.9956866689993	1	0.721	0.721
K00028: malate dehydrogenase (decarboxylating)	0.41	0.119	0.331	0.107	0.054	0.103	<2e-16	0.00479	9.88e-15	6.09e-12	0.0757	1	NA	0.0283350145772595	3.40734050991501e-14	1.92871123829344e-11	0.9956866689993	1	0.492	0.492
K00799: glutathione S-transferase	0.585	0.648	1.203	0.657	1.032	0.85	0.000349	0.000108	0.0408	0.7	0.657	0.000441	0.000621690316822847	0.00157648920863309	0.0506319266055046	0.741671018276762	0.9956866689993	0.0090592474916388	0.101	0.381
K00798: cob(I)alamin adenosyltransferase	1.925	0.341	1.761	0.646	0.159	0.469	<2e-16	0.182	1.67e-15	6.33e-15	0.541	0.127	NA	0.399940072202166	6.84531313131313e-15	4.33904391891892e-14	0.9956866689993	0.346658744394619	0.638	0.681
K00797: spermidine synthase	1.513	0.481	2.444	0.57	3.664	0.074	<2e-16	3.28e-14	1.67e-15	5.53e-13	0.958	0.000304	NA	1.93838446601942e-12	6.84531313131313e-15	1.88156008943544e-12	0.998386055843504	0.00720018677042802	0.695	0.814
K00796: dihydropteroate synthase	1.883	0.251	1.659	0.521	0.115	0.385	<2e-16	0.00663	1.67e-15	1.67e-15	0.85	0.414	NA	0.0358090594498669	6.84531313131313e-15	1.69988127090301e-14	0.9956866689993	0.725602649006623	0.731	0.744
K00795: geranyltranstransferase	1.224	0.296	1.062	0.428	0.134	0.367	<2e-16	0.0657	4.55e-15	3.87e-14	0.65	0.213	NA	0.18962347083926	1.65249701670644e-14	1.46770654205607e-13	0.9956866689993	0.477367820324006	0.533	0.582
K00794: riboflavin synthase beta chain	1.84	0.409	1.509	0.742	0.003	0.01	<2e-16	0.00395	1.67e-15	2.85e-14	0.76	0.521	NA	0.0246601538461538	6.84531313131313e-15	1.24061143984221e-13	0.9956866689993	0.836320411392405	0.596	0.617
K00793: riboflavin synthase alpha chain	1.941	0.272	1.67	0.51	0.286	0.594	<2e-16	0.0027	1.67e-15	7.22e-15	0.727	1	NA	0.0188473623853211	6.84531313131313e-15	4.85614806629834e-14	0.9956866689993	1	0.654	0.654
K00020: 3-hydroxyisobutyrate dehydrogenase	0.967	0.394	0.959	0.51	0.243	0.439	1.02e-09	0.996	9.42e-09	9.13e-07	0.428	0.0467	4.81304964539007e-09	1	1.93453238866397e-08	2.0371814516129e-06	0.9956866689993	0.187756208718626	0.264	0.387
K00023: acetoacetyl-CoA reductase	1.155	0.203	0.947	0.374	0.071	0.211	<2e-16	0.000381	1.67e-15	1.23e-14	0.692	0.157	NA	0.0043511200750469	6.84531313131313e-15	7.47206586826347e-14	0.9956866689993	0.392951891447368	0.672	0.711
K00790: UDP-N-acetylglucosamine 1-carboxyvinyltransferase	2.212	0.257	2.061	0.213	0.412	0.656	<2e-16	0.074	1.67e-15	1.67e-15	0.588	0.619	NA	0.206244505494505	6.84531313131313e-15	1.69988127090301e-14	0.9956866689993	0.930793725296443	0.758	0.767
K09017: TetR/AcrR family transcriptional regulator	1.412	0.333	1.357	0.501	0.037	0.147	<2e-16	0.754	1.67e-15	7.22e-15	0.948	0.023	NA	0.992989614885331	6.84531313131313e-15	4.85614806629834e-14	0.997316972001383	0.120275773195876	0.621	0.714
K09016: putative pyrimidine permease RutG	0.557	0.279	0.5	0.341	0.023	0.091	6.12e-10	0.607	1.71e-10	6.44e-07	0.497	0.44	3.04247073474471e-09	0.891819695872556	3.81833088774762e-10	1.45509576837416e-06	0.9956866689993	0.752325842696629	0.279	0.331
K09015: Fe-S cluster assembly protein SufD	1.774	0.344	1.646	0.23	0.104	0.416	<2e-16	0.181	1.67e-15	1.67e-15	0.42	0.0583	NA	0.398606005788712	6.84531313131313e-15	1.69988127090301e-14	0.9956866689993	0.214553869407497	0.702	0.759
K09014: Fe-S cluster assembly protein SufB	1.967	0.27	1.733	0.405	0	0	<2e-16	0.000646	1.67e-15	1.67e-15	0.778	0.399	NA	0.00655057947019868	6.84531313131313e-15	1.69988127090301e-14	0.9956866689993	0.709113284671533	0.82	0.838
K09013: Fe-S cluster assembly ATP-binding protein	2.014	0.246	1.649	0.548	0.202	0.523	<2e-16	1.66e-05	1.67e-15	2.11e-15	0.997	0.597	NA	0.000346041780821918	6.84531313131313e-15	1.80134221598878e-14	0.999328348397699	0.913279467202815	0.712	0.722
K09011: D-citramalate synthase	1.521	0.345	1.02	0.473	0.004	0.015	<2e-16	2.97e-09	1.67e-15	3.25e-14	0.646	0.55	NA	1.15887115384615e-07	6.84531313131313e-15	1.27466172680412e-13	0.9956866689993	0.865972581479565	0.646	0.663
K01261: glutamyl aminopeptidase	0.582	0.312	0.6	0.325	0.113	0.236	1.83e-07	0.959	2.51e-07	4.01e-06	0.519	0.404	5.89141935483871e-07	1	4.77150843222986e-07	8.48413972888425e-06	0.9956866689993	0.714868604651163	0.207	0.266
K01262: X-Pro aminopeptidase	2.2	0.256	1.988	0.305	0.857	0.66	<2e-16	0.00968	1.67e-15	2.1e-14	0.319	1	NA	0.047403185840708	6.84531313131313e-15	1.14745960502693e-13	0.9956866689993	1	0.614	0.614
K01263: cytosol alanyl aminopeptidase	0.449	0.195	0.388	0.22	0.019	0.067	1.06e-12	0.306	2.4e-13	2.27e-08	0.773	0.12	1.01232535885167e-11	0.577378177309361	6.05922853587723e-13	5.6420947325439e-08	0.9956866689993	0.335217989903626	0.349	0.439
K01264: aminopeptidase Y	0.463	0.266	0.341	0.31	0	0	8.81e-10	0.077	2.76e-09	0.000165	0.573	0.141	4.22203121248499e-09	0.212177003168855	5.81923103567717e-09	0.000299271454112038	0.9956866689993	0.369305938037866	0.275	0.376
K01265: methionyl aminopeptidase	2.242	0.257	1.964	0.472	0.945	0.611	<2e-16	0.00127	1.67e-15	3.38e-14	0.849	0.64	NA	0.0109187711864407	6.84531313131313e-15	1.30463284717819e-13	0.9956866689993	0.952256172085065	0.561	0.574
K09019: putative NADH dehydrogenase/NAD(P)H nitroreductase RutE	0.231	0.354	0.264	0.403	0.035	0.141	0.00131	0.897	0.0977	0.0951	0.681	0.00254	0.00206537124802528	1	0.115051247823564	0.116450150875075	0.9956866689993	0.0282729508196721	0.082	0.345
K01267: aspartyl aminopeptidase	1.337	0.34	1.158	0.495	0.143	0.397	<2e-16	0.0735	7.88e-15	9.56e-14	0.153	0.0618	NA	0.205604090073529	2.75347646383467e-14	3.43313982300885e-13	0.9956866689993	0.222853436018957	0.522	0.6
K08227: MFS transporter, LPLT family, lysophospholipid transporter	0.272	0.389	0.354	0.46	0	0	0.000107	0.572	0.0254	0.0103	0.166	0.000123	0.000210415763546798	0.859907137564831	0.0323993713327745	0.0147798444130127	0.9956866689993	0.00411374175824176	0.104	0.429
K08225: MFS transporter, ENTS family, enterobactin (siderophore) exporter	0.216	0.323	0.236	0.455	0	0	0.00253	0.957	0.0462	0.0653	0.0685	0.0087	0.0038054860587792	1	0.0568809466019417	0.0824820709690807	0.9956866689993	0.0622242505854801	0.094	0.274
K08224: MFS transporter, YNFM family, putative membrane transport protein	0.407	0.43	0.465	0.568	0	0	2.84e-05	0.815	0.0022	0.00273	0.754	0.0108	6.15821835958718e-05	1	0.00317783578547698	0.00426856152067814	0.9956866689993	0.0715338411316649	0.129	0.333
K08223: MFS transporter, FSR family, fosmidomycin resistance protein	1.415	0.344	1.216	0.485	0	0	<2e-16	0.0287	1.67e-15	2.14e-14	0.303	0.131	NA	0.103924390243902	6.84531313131313e-15	1.15582786157941e-13	0.9956866689993	0.353456117021277	0.6	0.655
K08222: MFS transporter, YQGE family, putative transporter	0.414	0.434	0.287	0.437	0	0	0.000979	0.325	0.000819	0.0708	0.749	0.0068	0.00158353646677472	0.60313262195122	0.00122789482758621	0.0888759744277171	0.9956866689993	0.0543910643889619	0.091	0.322
K08221: MFS transporter, ACDE family, multidrug resistance protein	0.057	0.132	0.009	0.024	0.011	0.045	0.0426	0.112	0.283	0.998	0.487	0.646	0.0511610108303249	0.280092029580937	0.311899511135252	1	0.9956866689993	0.957439006574142	0.048	0.084
K00249: acyl-CoA dehydrogenase	1.073	0.198	1.08	0.255	0.348	0.39	<2e-16	0.989	1.3e-14	2.98e-14	0.73	0.388	NA	1	4.39128745837958e-14	1.24061143984221e-13	0.9956866689993	0.696067197170645	0.496	0.529
K00248: butyryl-CoA dehydrogenase	1.562	0.241	1.53	0.217	0.309	0.412	<2e-16	0.842	1.67e-15	1.67e-15	0.665	0.0233	NA	1	6.84531313131313e-15	1.69988127090301e-14	0.9956866689993	0.121323438836612	0.706	0.769
K00241: succinate dehydrogenase cytochrome b-556 subunit	1.812	0.376	1.59	0.448	0.202	0.47	<2e-16	0.0294	1.67e-15	1.77e-14	0.546	1	NA	0.105517570754717	6.84531313131313e-15	9.93910516605166e-14	0.9956866689993	1	0.608	0.608
K00240: succinate dehydrogenase iron-sulfur protein	1.861	0.288	1.671	0.461	0.077	0.306	<2e-16	0.0228	1.67e-15	1.67e-15	0.723	1	NA	0.0874502835538752	6.84531313131313e-15	1.69988127090301e-14	0.9956866689993	1	0.738	0.738
K00243: hypothetical protein	1.796	0.268	1.626	0.395	0.108	0.433	<2e-16	0.0363	1.67e-15	1.67e-15	0.558	1	NA	0.12174	6.84531313131313e-15	1.69988127090301e-14	0.9956866689993	1	0.733	0.733
K00245: fumarate reductase iron-sulfur protein	0.766	0.372	0.777	0.361	0.022	0.087	3.04e-14	0.989	3.1e-12	6.74e-10	0.975	0.0176	5.17606779661017e-13	1	7.53281437125748e-12	1.86568349249659e-09	0.998386055843504	0.0993795918367347	0.361	0.521
K00244: fumarate reductase flavoprotein subunit	1.628	0.312	1.478	0.37	0.182	0.436	<2e-16	0.102	1.67e-15	3.44e-15	0.272	0.063	NA	0.260981084489281	6.84531313131313e-15	2.64384848484848e-14	0.9956866689993	0.225577058823529	0.652	0.71
K00246: fumarate reductase subunit C	0.38	0.456	0.42	0.528	0	0	0.00115	0.91	0.00542	0.00888	0.21	0.162	0.00183119266055046	1	0.00752887722501141	0.0128635316515945	0.9956866689993	0.400200487012987	0.099	0.206
K01066: esterase / lipase	1.664	0.304	1.519	0.363	0.196	0.273	<2e-16	0.0798	1.67e-15	1.67e-15	0.403	0.16	NA	0.217431781557744	6.84531313131313e-15	1.69988127090301e-14	0.9956866689993	0.396870415647922	0.695	0.743
K01067: acetyl-CoA hydrolase	1.791	0.259	1.52	0.493	0.187	0.412	<2e-16	0.00069	1.67e-15	2.11e-15	0.562	0.288	NA	0.00687402618657938	6.84531313131313e-15	1.80134221598878e-14	0.9956866689993	0.577422924901186	0.702	0.726
K09939: hypothetical protein	1.089	0.55	0.801	0.604	0	0	1.03e-10	0.0335	1.32e-11	1.24e-05	0.855	0.073	5.99381924198251e-10	0.115532294617564	3.12883177570094e-11	2.50676851544337e-05	0.9956866689993	0.245427302813017	0.296	0.43
K06987	1.098	0.419	1.057	0.546	0	0	1.17e-14	0.894	3.01e-14	2.2e-12	0.764	0.418	2.47924210526316e-13	1	8.48839406207827e-14	7.17652733118971e-12	0.9956866689993	0.728835863649384	0.397	0.439
K12058: conjugal transfer mating pair stabilization protein TraN	0.18	0.3	0.17	0.381	0	0	0.068	0.985	0.0699	0.172	0.103	0.111	0.0793498976907337	1	0.0836902635719906	0.201960648148148	0.9956866689993	0.319007082152975	0.052	0.167
K02799: PTS system, mannitol-specific IIB component	0.725	0.428	0.74	0.464	0	0	7.45e-11	0.982	2.74e-09	1.44e-07	0.0536	0.026	4.48573152337858e-10	1	5.77906444906445e-09	3.41726315789474e-07	0.9956866689993	0.129616707616708	0.29	0.468
K02798: PTS system, mannitol-specific IIA component	0.776	0.412	0.815	0.442	0	0	4.08e-11	0.888	7.23e-11	2.87e-09	0.412	0.132	2.58119809825674e-10	1	1.64827752808989e-10	7.61870475359791e-09	0.9956866689993	0.354895759717315	0.3	0.409
K02791: PTS system, maltose and glucose-specific IIC component	0.979	0.28	0.984	0.338	0.052	0.148	<2e-16	0.996	3.22e-15	2.45e-14	0.0976	0.812	NA	1	1.19367478684531e-14	1.24061143984221e-13	0.9956866689993	1	0.529	0.536
K02790: PTS system, maltose and glucose-specific IIB component	0.979	0.28	0.984	0.338	0.052	0.148	<2e-16	0.996	3.22e-15	2.45e-14	0.0976	0.812	NA	1	1.19367478684531e-14	1.24061143984221e-13	0.9956866689993	1	0.529	0.536
K02793: PTS system, mannose-specific IIA component	1.183	0.459	1.254	0.531	0.155	0.428	8.07e-14	0.764	7.53e-13	2.72e-11	0.31	0.126	1.14645693950178e-12	1	1.86701059063136e-12	8.22077457795432e-11	0.9956866689993	0.345634069400631	0.368	0.465
K02795: PTS system, mannose-specific IIC component	1.285	0.397	1.306	0.427	0.18	0.491	1.55e-15	0.969	2.92e-14	6.07e-14	0.397	1	6.20538613861386e-14	1	8.48839406207827e-14	2.23656719128329e-13	0.9956866689993	1	0.42	0.42
K02794: PTS system, mannose-specific IIB component	1.263	0.45	1.252	0.546	0.183	0.511	5.67e-13	0.993	1.73e-13	1.42e-10	0.531	0.455	5.8944375e-12	1	4.39870927318296e-13	4.09840682788051e-10	0.9956866689993	0.768688592839301	0.357	0.402
K02796: PTS system, mannose-specific IID component	1.281	0.475	1.381	0.437	0.151	0.416	2.36e-14	0.573	3.32e-14	1.24e-13	0.735	0.536	4.26172972972973e-13	0.860348051307351	8.94196460176991e-14	4.39341094295693e-13	0.9956866689993	0.852752744380554	0.388	0.425
K12035: tripartite motif-containing protein 71	0.057	0.126	0.078	0.177	0.062	0.198	0.786	0.767	0.991	0.93	0.036	1	0.796778059928898	1	0.99656649595242	0.952053481331988	0.9956866689993	1	0.034	0.034
K01044: carboxylesterase	0.714	0.245	0.874	0.375	0.571	0.5	0.0044	0.0423	0.197	0.00559	0.0293	0.0469	0.00629337155141526	0.137103354632588	0.222268582020389	0.00833570063694268	0.9956866689993	0.187939631336406	0.092	0.237
K01046: triacylglycerol lipase	0.971	0.347	1.01	0.471	0.24	0.328	1.56e-11	0.876	6.18e-11	2.29e-09	0.248	0.179	1.07742560553633e-10	1	1.41632756024096e-10	6.12982849604222e-09	0.9956866689993	0.425780773739742	0.318	0.392
K01047: phospholipase A2	0.062	0.221	0.543	0.58	1.104	0.8	1.03e-15	6.05e-07	3.01e-14	7.4e-05	0.833	1	5.55643243243243e-14	1.77049759615385e-05	8.48839406207827e-14	0.000138895467160037	0.9956866689993	1	0.422	0.422
K01041	1.47	0.223	1.203	0.382	0.002	0.008	<2e-16	6.45e-06	1.67e-15	1.67e-15	0.609	1	NA	0.000154571456692913	6.84531313131313e-15	1.69988127090301e-14	0.9956866689993	1	0.768	0.768
K04562: flagellar biosynthesis protein FlhG	0.588	0.429	0.463	0.449	0	0	4.97e-08	0.329	1.21e-06	0.00128	0.574	0.00402	1.75732860938884e-07	0.607407643312102	2.21445279615153e-06	0.00208492373561681	0.9956866689993	0.0390266985645933	0.214	0.408
K01043	1.823	0.268	1.655	0.461	0.263	0.507	<2e-16	0.0635	1.67e-15	1.89e-15	0.388	0.527	NA	0.185117097701149	6.84531313131313e-15	1.72222005988024e-14	0.9956866689993	0.843061498028909	0.67	0.686
K01048: lysophospholipase	1.412	0.378	1.4	0.438	0.154	0.42	<2e-16	0.989	5.88e-15	2.89e-14	0.0939	0.171	NA	1	2.09552459016393e-14	1.24061143984221e-13	0.9956866689993	0.413703100158983	0.531	0.589
K01049: acetylcholinesterase	0.184	0.137	0.19	0.25	0.12	0.294	0.475	0.989	0.411	0.459	0.468	0.265	0.492263759086189	1	0.442240940427789	0.50277721792334	0.9956866689993	0.549218590398366	0.014	0.088
K02242: competence protein ComFC	1.473	0.26	1.229	0.62	0.105	0.419	<2e-16	0.00783	1.67e-15	3e-14	0.172	0.0279	NA	0.0404594312393888	6.84531313131313e-15	1.24061143984221e-13	0.9956866689993	0.134890627482129	0.605	0.67
K02533: tRNA/rRNA methyltransferase	0.423	0.513	0.451	0.615	0	0	0.00131	0.962	0.00694	0.0147	0.969	0.156	0.00206537124802528	1	0.00954446000903751	0.0205793238270469	0.998386055843504	0.391092257001647	0.089	0.201
K10194: oligogalacturonide transport system permease protein	0.762	0.321	0.57	0.377	0.01	0.041	4.44e-13	0.0148	4.32e-14	2.6e-07	0.456	0.542	4.80338211382114e-12	0.0639372604684173	1.14180807642206e-13	6.04977064220184e-07	0.9956866689993	0.858037451235371	0.365	0.411
K02538: activator of the mannose operon, transcriptional antiterminator	0.274	0.267	0.362	0.401	0	0	0.000353	0.318	0.00139	0.000235	0.331	0.858	0.000626578923966207	0.593580496780129	0.00204320936971746	0.000420842894969109	0.9956866689993	1	0.114	0.125
K10197: glucose/arabinose transport system permease protein	0.015	0.054	0.012	0.021	0	0	0.58	0.95	0.45	0.685	0.726	0.313	0.59597425997426	1	0.480552631578947	0.727551038213226	0.9956866689993	0.609089194373402	0.008	0.194
K13131	0.031	0.095	0.082	0.226	0.115	0.279	0.0741	0.285	0.118	0.779	0.889	0.804	0.086065522257783	0.550379124365482	0.137546150900038	0.817406136872953	0.9956866689993	1	0.037	0.055
K13421	0.409	0.151	0.436	0.235	0.063	0.2	1.1e-11	0.751	6.47e-11	1.06e-09	0.436	0.0414	7.91207207207207e-11	0.991613232104122	1.48055977443609e-10	2.89596947935368e-09	0.9956866689993	0.174034392265193	0.313	0.426
K13420	0.061	0.118	0.234	0.284	0	0	6.72e-08	3.48e-06	0.337	1.94e-05	0.554	0.00791	2.33678048780488e-07	8.97574576271186e-05	0.367027911969941	3.84025365853659e-05	0.9956866689993	0.0598113913043478	0.199	0.338
K06858: vitamin B12 transport system substrate-binding protein	0.199	0.328	0.269	0.404	0	0	0.00227	0.578	0.0663	0.0264	0.547	0.0134	0.00344033409263478	0.865081386771576	0.0795364800945999	0.0355917607973422	0.9956866689993	0.0823065590312815	0.076	0.283
K03110: signal recognition particle receptor	1.92	0.303	1.703	0.395	0.368	0.535	<2e-16	0.0134	1.67e-15	4.77e-15	0.542	0.222	NA	0.0591485134155185	6.84531313131313e-15	3.41990459363958e-14	0.9956866689993	0.489074918566775	0.658	0.692
K03111: single-strand DNA-binding protein	2.316	0.293	2.142	0.458	0.413	0.746	<2e-16	0.101	1.67e-15	1.67e-15	0.0175	0.609	NA	0.259403797468354	6.84531313131313e-15	1.69988127090301e-14	0.9956866689993	0.923283437110834	0.699	0.708
K03112: DamX protein	0.152	0.307	0.359	0.479	0	0	9.11e-05	0.0118	0.212	0.00221	0.595	7.07e-05	0.000180930945273632	0.0542907029478458	0.238441241685144	0.00350410784058349	0.9956866689993	0.00307828285714286	0.096	0.399
